INSTNM,latitude,longitude,STABBR,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,PPTUG_EF
Alaska Pacific University,61.1912,-149.8042,AK,0.3745,1008.0,340.0,8792.0,30891.0,0.3902,0.4587,0.2791,0.3853
AVTEC-Alaska's Institute of Technology,60.1107,-149.4446,AK,0.4888,1048.0,1347.0,8792.0,18259.0,0.46545000000000003,0.1447,0.1163,0.7765
Charter College-Anchorage,61.1958,-149.8402,AK,0.7167,1048.0,2191.0,8792.0,17691.0,0.3534,0.4152,0.6598,0.0
Prince William Sound Community College,61.1224,-146.178,AK,0.7167,1048.0,134.0,8775.0,18259.0,0.46545000000000003,0.2015,0.2092,0.6493
Alaska Career College,61.1814,-149.857,AK,0.7167,1048.0,335.0,8792.0,14170.0,0.46545000000000003,0.7894,0.6181,0.0
Everest College-Phoenix,33.581,-112.1138,AZ,0.7167,1048.0,2761.0,8792.0,20126.0,0.3175,0.7408,0.8264,0.4611
Collins College,33.4033,-111.9865,AZ,0.7167,1048.0,254.0,8792.0,18259.0,0.3773,0.9203,0.7475,0.189
Empire Beauty School-Paradise Valley,33.6026,-111.9764,AZ,0.7167,1048.0,43.0,8792.0,12328.0,0.46545000000000003,0.6598,0.6598,0.2093
Empire Beauty School-Tucson,32.2357,-110.9272,AZ,0.7167,1048.0,175.0,8792.0,13660.0,0.46545000000000003,0.7386,0.7843,0.2
Thunderbird School of Global Management,33.6209,-112.1809,AZ,0.7167,1048.0,2.0,8792.0,18259.0,0.46545000000000003,0.0,0.0,1.0
American Indian College of the Assemblies of God Inc,33.5777,-112.0922,AZ,0.7167,1048.0,77.0,8792.0,12580.0,0.5,0.6986,0.7945,0.1169
American Institute of Technology,33.4423,-112.1753,AZ,0.7167,1048.0,278.0,8792.0,19019.0,0.46545000000000003,0.7451,0.4933,0.0
Carrington College-Phoenix,33.5608,-112.1155,AZ,1.0,1048.0,676.0,8792.0,20501.0,0.6443,0.6062,0.7255,0.0
Carrington College-Mesa,33.393,-111.8553,AZ,1.0,1048.0,691.0,8792.0,22169.0,0.46545000000000003,0.5289,0.7296,0.097
Carrington College-Tucson,32.2709,-110.978,AZ,1.0,1048.0,440.0,8792.0,21229.0,0.46545000000000003,0.5356,0.6507,0.0068
College America-Flagstaff,35.2112,-111.6048,AZ,0.7167,1048.0,209.0,8792.0,20877.0,0.4667,0.9569,0.8431,0.0
Arizona Academy of Beauty-East,32.2373,-110.8723,AZ,0.7167,1048.0,47.0,8792.0,12938.0,0.46545000000000003,0.475,0.575,0.0
Arizona Automotive Institute,33.5372,-112.1573,AZ,0.7167,1048.0,505.0,8792.0,28404.0,0.46545000000000003,0.7971,0.7742,0.0
Brookline College-Phoenix,33.5254,-112.1501,AZ,0.7167,1048.0,828.0,8792.0,25566.0,0.4664,0.6346,0.6609,0.0
Arizona State University-Tempe,33.4219,-111.94,AZ,0.7626,1108.0,38480.0,11480.0,18259.0,0.5947,0.4784,0.3376,0.0943
Arizona Western College,32.6893,-114.496,AZ,0.7167,1048.0,7442.0,9095.0,18259.0,0.46545000000000003,0.0554,0.5803,0.6318
University of Arizona,32.2321,-110.9508,AZ,0.7692,1106.0,31399.0,13617.0,18259.0,0.6139,0.3962,0.3265,0.099
Southwest University of Visual Arts-Tucson,32.2524,-110.9273,AZ,0.7167,1048.0,216.0,8792.0,46298.0,0.8333,0.6777,0.5308,0.4167
Brillare Hairdressing Academy,33.624,-111.9255,AZ,0.7167,1048.0,226.0,8792.0,13635.0,0.46545000000000003,0.633,0.5724,0.4292
Central Arizona College,32.9571,-111.6525,AZ,0.7167,1048.0,5462.0,4310.0,18259.0,0.46545000000000003,0.1783,0.4644,0.6335
Brown Mackie College-Tucson,32.2367,-110.8951,AZ,0.7167,1048.0,684.0,8792.0,19957.0,0.1622,0.7398,0.8355,0.0
Charles of Italy Beauty College,34.4753,-114.3281,AZ,0.7167,1048.0,83.0,8792.0,10819.0,0.46545000000000003,0.5828,0.6291,0.0
Cochise College,31.3658,-109.6904,AZ,0.7167,1048.0,3787.0,5017.0,18259.0,0.46545000000000003,0.0706,0.308,0.5862
Empire Beauty School-Flagstaff,35.1972,-111.6259,AZ,0.7167,1048.0,53.0,8792.0,12798.0,0.46545000000000003,0.6947,0.7474,0.0
Empire Beauty School-Chandler,33.3476,-111.8604,AZ,0.7167,1048.0,113.0,8792.0,12513.0,0.46545000000000003,0.6753,0.7113,0.2389
Cortiva Institute-Tucson,32.219,-110.8568,AZ,0.7167,1048.0,143.0,8792.0,19534.0,0.46545000000000003,0.8816,0.7105,0.3287
Avalon School of Cosmetology-Mesa,33.3766,-111.8583,AZ,0.7167,1048.0,273.0,8792.0,11591.0,0.46545000000000003,0.7927,0.7927,0.3516
Eastern Arizona College,32.8407,-109.7617,AZ,0.7167,1048.0,4812.0,534.0,18259.0,0.46545000000000003,0.0,0.1975,0.6002
Embry-Riddle Aeronautical University-Prescott,34.6157,-112.4523,AZ,0.7814,1126.0,1802.0,8792.0,35470.0,0.5915,0.5596,0.2884,0.0638
